"","seller_id","customer_unique_id","customer_lat","customer_lng","seller_lat","seller_lng","dist","clust"
"1","e8b4225284fbb02d16f200513f1f395d","f99edeaa8a00f9866fd8fce5a0b83d4f",-3.73788169,-38.50270088,-21.46960096,-49.22221685,20.720084239722,"1"
"2","955fee9216a65b617aa5c0531780ce60","fa78b26c2fa23b2ebda98c2926305c1d",-3.504514941,-39.57289794,-23.69101305,-46.70381011,21.4089844289942,"1"
"3","c3cfdc648177fdbbbb35635a37472c53","77971c2442b1adbbe0448409df2ea56a",-9.625896891,-35.71859501,-25.46995509,-49.28982106,20.8617438560035,"1"
"4","06a2c3af7b3aee5d69171b0e14f0ee87","f26b89209f5378f95d8e664073b76419",-23.58763459,-46.74933567,-2.501242201,-44.24816337,21.2342131207437,"2"
"5","624f4ece8da4aafb77699233d480f8ef","e7aa5a5869f3e9d7d04fd3aa5f90631f",-3.798682744,-38.49320832,-23.4847697,-46.73414273,21.3413921661431,"1"
"6","620c87c171fb2a6dd6e8bb4dec959fc6","7af7a47d87d53e6db00e70790bba0370",-1.438141807,-48.46247941,-22.54079651,-43.20123507,21.7486258765751,"4"
"7","4e922959ae960d389249c378d1c939f5","0b9779c6ddf61db3641edd60f13be109",-2.689476445,-47.63510776,-23.30231825,-45.97188818,20.6798342993664,"4"
"8","86ccac0b835037332a596a33b6949ee1","a4e15c3b37a5bdc379b5d9a8b7b37450",-1.461060507,-48.48391855,-26.91446933,-49.11226323,25.4611633227482,"4"
"9","3d871de0142ce09b7081e2b9d1733cb1","35ecdf6858edc6427223b64804cf028e",-2.502220359,-44.29231417,-23.21174633,-46.76287514,20.8563692298063,"4"
"10","582d4f8675b945722eda7c0cb61ba4c7","b3c1bc5b24affd7cfb96752860b44640",-3.065017064,-60.05898193,-23.8183904,-46.0806237,25.0219304536961,"3"
"11","6560211a19b47992c3666cc44a7e94c0","f513f0c6703eeca0a7c917c3fb6e407c",-3.756639802,-38.61845112,-23.65236618,-46.75575337,21.4954789668921,"1"
"12","91f0eec23d4a61d7d7caeefa3f0ad1ca","c555d42202667b1e09e50e7667b6a663",0.055708756,-51.06155039,-28.47592154,-49.01172865,28.6051690523479,"4"
"13","ccc4bbb5f32a6ab2b7066a4130f114e3","0cc2ee1112a11a1094eff52fa2e87150",-5.053011828,-42.81479235,-25.45693388,-49.30945498,21.4126289320487,"1"
"14","fa40cc5b934574b62717c68f3d678b6d","16156a86625a02a82bf1cd39de12a4ea",-3.074261633,-60.02800275,-23.47281466,-46.60072915,24.4211515274073,"3"
"15","4e922959ae960d389249c378d1c939f5","51d121ddc025c1b70f8f62a1b727aecf",-9.910598283,-63.04023429,-23.30231825,-45.97188818,21.6948519839454,"5"
"16","fa1c13f2614d7b5c4749cbc52fecda94","c5d371601018aa18e6c3a30b5678fb1e",-3.731708866,-38.5696316,-22.82213651,-47.27033543,20.9796728946897,"1"
"17","8d79c8a04e42d722a75097ce5cbcf2ef","98373acca5178086924094608b1ddca7",-23.54154695,-46.5606561,-3.766765996,-38.65536409,21.2963753615974,"2"
"18","1025f0e2d44d7041d6cf58b6550e0bfa","4465b5c91c87e80f405456b8c3fef46c",-2.536046078,-44.23733929,-23.59549859,-46.55972696,21.1871193085552,"4"
"19","0db783cfcd3b73998abc6e10e59a102f","48aee83c86f97efcbe8143093423578c",-2.549306732,-44.24980847,-23.93357261,-46.32962528,21.4851684914071,"4"
"20","33576ec5412fb5905d876f12f33bfde6","54f3fab90f8879fc698930fb6de60758",-2.570936,-44.20646757,-25.41804943,-49.24877342,23.3969109150809,"4"
"21","87e24fc7052259b1f7f607d61c10d8be","d1c73ffbc43e326738aec07c5dacb8d9",-3.869752928,-38.6250115,-23.62569896,-46.74346812,21.3589967346343,"1"
"22","0dd184061fb0eaa7ca37932c68ab91c5","bcec9b9aa5e994638f1eb6c2e5f449aa",-3.773246515,-38.51393389,-23.49371885,-46.54618856,21.2935235271018,"1"
"23","955fee9216a65b617aa5c0531780ce60","4ac6ec83ece04605a854d931c8e8d8c7",-5.797782626,-35.2120392,-23.69101305,-46.70381011,21.2656646652363,"1"
"24","cc419e0650a3c5ba77189a1882b7556a","6af0dae4a241c1a6f0a45d9af33bc1b3",-3.823325335,-38.46612916,-23.65936364,-46.52318334,21.4099168073321,"1"
"25","52562a9f449c3dc3d53f5f5b9ed74903","ceb4a58a238175053bbbf54ca503de8c",-23.58995508,-46.41220587,-5.886563453,-35.20824132,20.9508686391899,"2"
"26","439a47cc365d6e3bd526812ea9de3c29","959d0dedf5b88c8c99c9c1375f839230",-3.836790176,-38.49168653,-23.53567115,-46.20113833,21.1537599183772,"1"
"27","955fee9216a65b617aa5c0531780ce60","4d5e71a85161c235a376406c237f96aa",-3.763645861,-38.53983925,-23.69101305,-46.70381011,21.5348643666071,"1"
"28","7c67e1448b00f6e969d365cea6b010ab","b48348743e921a4c82657d401675e069",-3.735627602,-38.48260092,-23.48611145,-46.36672077,21.2659577268289,"1"
"29","fa40cc5b934574b62717c68f3d678b6d","f224c968e69ed64cf5332f1cd4a3507c",-3.878084613,-38.45865712,-23.47281466,-46.60072915,21.219019358974,"1"
"30","6039e27294dc75811c0d8a39069f52c0","68d1040bf3b992cfabd1dded3b8bec39",-3.725588915,-38.49344825,-23.55355704,-46.80913962,21.5011405029386,"1"
"31","3c7c4a49ec3c6550809089c6a2ca9370","fb8bc250f9f12a9121282d4b0d59485b",-8.798674164,-63.86347499,-23.4991434,-46.48329855,22.7634428161496,"5"
"32","6560211a19b47992c3666cc44a7e94c0","0fd78845b572a38abebfb7418be19650",-6.22231187,-57.75944388,-23.65236618,-46.75575337,20.6128115037569,"3"
"33","b4ffb71f0cb1b1c3d63fad021ecf93e1","1750995a1e8cc279199b445c35319589",-2.557557173,-44.24989707,-23.50832107,-46.48545546,21.0696993140134,"4"
"34","522620dcb18a6b31cd7bdf73665113a9","9a581e2dded8ef3ab5916d76766903f8",-8.081899592,-34.94106181,-24.95918428,-53.462644,25.0577681620037,"1"
"35","e0eabded302882513ced4ea3eb0c7059","9484cca8fd716e613bc1a0bb17ed0172",-7.515035839,-63.02030866,-22.89384803,-47.06133702,22.1629564862717,"5"
"36","ccc4bbb5f32a6ab2b7066a4130f114e3","690c7559d9d62f2464c47042a655bf57",-9.462653803,-35.54698141,-25.45693388,-49.30945498,21.1003003283476,"1"
"37","aa762680c40618316a896838866140ea","992dd82b09483da3ce7927c061fd1880",-3.099482039,-60.03350948,-25.39987209,-49.24086872,24.7747551148574,"3"
